AREAKEY,TRCTPOP1,MDFAMY1A,MDVALHS1A
36047048500,2510,53578,520100
36047048600,3568,27523,603300
36047048800,4395,40556,305000
36047048900,4039,22784,0
36047049000,5899,44417,509800
36047049100,6418,41125,188400
36047049200,3495,52105,467500
36047049300,7625,27539,532100
36047049400,5308,58590,492900
36047049500,2603,81012,558300
36047049600,4513,57601,598100
36047049700,2645,74167,715500
36047049800,4232,52205,649000
36047049900,1753,81250,865300
36047050000,3474,66627,407800
36047050100,2786,60156,787000
36047050202,2201,110083,635900
36047050300,2582,44866,929200
36047050400,4527,81404,428600
36047050500,4163,22932,485000
36047050600,6016,32687,711100
36047050700,2288,20455,519200
36047050801,4080,34667,0
36047050803,2464,49211,588600
36047050804,6250,50679,313200
36047050900,3694,20781,515300
36047051001,3926,53897,0
36047051002,4725,44000,829500
36047051100,3933,29647,518400
36047051200,6398,41492,179700
36047051300,4332,41250,552300
36047051400,7366,39801,266200
36047051500,1372,61912,587800
36047051601,5732,35327,500000
36047051602,4028,50547,443800
36047051700,1735,99583,797200
36047051800,3415,57014,341700
36047051900,3564,68854,900400
36047052000,4228,48194,740900
36047052300,5469,30545,629700
36047052500,3499,17141,247700
36047052600,4357,60521,590600
36047052700,6629,34779,396100
36047052800,1818,95815,872300
36047052900,3979,30260,845100
36047053000,3465,56815,628300
36047053100,7027,24018,469500
36047053200,2579,76853,433300
36047053300,6566,21447,542800
36047053400,4383,55862,629100
36047053500,4348,23333,450000
36047053700,3575,30938,608200
36047053800,4473,41063,502400
36047053900,2756,31957,614600
36047054200,4450,47188,712100
36047054300,327,0,0
36047054400,3406,65771,512500
36047054500,8008,26643,623700
36047054600,4346,39389,601600
36047054700,5245,21735,572900
36047054800,1989,68036,808800
36047054900,3122,32730,565200
36047055000,3551,42563,692200
36047055100,4597,37152,692700
36047055200,3498,51920,528800
36047055300,2596,51625,638500
36047055400,4216,34957,658200
36047055500,1959,59306,724000
36047055600,3712,64813,625700
36047055700,1655,49402,295000
36047055800,2390,41100,630100
36047056000,3493,58007,613900
36047056100,3295,85938,689400
36047056200,1654,71406,646000
36047056300,4360,54655,722200
36047056400,2451,83047,518400
36047056500,3255,57266,855200
36047056600,2419,77452,585900
36047056800,1314,75357,484100
36047056900,1630,67794,833300
36047057000,3384,64861,198700
36047057100,4400,61466,641100
36047057200,5443,20360,0
36047057300,2608,64833,725500
36047057400,2657,80590,597800
36047057500,4249,52236,701900
36047057600,2918,56071,584100
36047057800,3176,71818,631900
36047057900,1117,41053,496200
36047058000,3365,50792,637900
36047058200,2967,45236,669300
36047058400,3620,58727,347300
36047058600,2519,47045,520800
36047058800,3245,55260,282400
36047058900,1904,78882,688400
36047059000,1899,62308,554200
36047059100,3920,54722,699900
36047059200,3870,76285,542900
36047059300,2228,48830,558200
36047059401,7628,66613,616900
36047059402,4551,76765,494500
36047059600,2306,52344,439100
36047059800,3427,62027,540500
36047060000,6067,76593,549300
36047060600,2555,50729,284400
36047060800,3574,71048,507700
36047061002,4508,73527,542500
36047061003,1984,54583,476400
36047061004,6447,35938,363400
36047061200,1076,76250,855000
36047061600,1656,79333,945300
36047062000,1850,100789,1000001
36047062200,3252,60820,446600
36047062600,2788,73125,382200
36047062800,5226,83833,452100
36047063200,1447,83611,363100
36047063600,1236,109327,507600
36047063800,1524,97622,524500
36047064000,1599,99524,527800
36047064200,2518,100188,762300
36047064400,2528,96818,594100
36047064600,2189,81042,545200
36047064800,1945,64526,487700
36047065000,1389,62796,430500
36047065200,1232,127202,596400
36047065400,1607,110769,576500
36047065600,1708,103102,451600
36047065800,1762,97000,546900
36047066000,1773,75810,477500
36047066200,1411,84656,482400
36047066600,0,0,0
36047067000,2680,66976,559200
36047067200,1422,102986,509300
36047067400,1964,104250,451400
36047067600,1657,104583,467100
36047067800,2660,71131,552300
36047068000,1809,61607,393400
36047068200,2432,95433,454800
36047068600,1533,86759,237000
36047068800,1614,85278,456100
36047069000,1791,92889,424300
36047069200,2392,77375,481600
36047069601,3780,72799,496700
36047069602,5995,91045,575500
36047069800,1277,92933,496800
36047070000,1703,100495,512800
36047070201,6573,86994,760900
36047070202,37,2499,0
36047070203,0,0,0
36047070600,2700,95284,651300
36047072000,2167,66875,622100
36047072200,2655,82209,459100
36047072400,1755,83063,445800
36047072600,2093,64397,413500
36047072800,3193,69193,288900
36047073000,1979,93922,457300
36047073200,2096,66837,437500
36047073400,1889,67788,439200
36047073600,3368,46866,437300
36047073800,3225,68828,590100
36047074000,3531,61838,539700
36047074200,3292,70516,490000
36047074400,2492,104181,598200
36047074600,2003,83885,579500
36047074800,2012,140938,641500
36047075000,3029,41354,709100
36047075200,1130,77978,758900
36047075400,1488,130192,860900
36047075600,1993,107679,585300
36047075800,1816,94118,762100
36047076000,2776,81452,665400
36047076200,4235,42250,620000
36047076400,3487,65301,752300
36047076600,2061,56310,604200
36047076800,3407,59236,506000
36047077000,2722,49651,338200
36047077200,3394,57596,877400
36047077400,2881,55923,782100
36047077600,3806,66058,277300
36047078000,2092,79306,425700
36047078200,3864,46431,434000
36047078400,2348,70833,464300
36047078600,4256,40031,199300
36047078800,3422,47188,427800
36047079000,5094,44671,536400
36047079200,4372,50170,478300
36047079400,1864,51641,341300
36047079601,4413,41723,326500
36047079602,4814,47670,299600
36047079801,3037,49185,840000
36047079802,5451,39577,634600
36047080000,3487,61620,855200
36047080200,4304,42132,581800
36047080400,3250,48214,585000
36047080600,3386,42365,469200
36047080800,1197,13750,0
36047081000,2300,37708,545600
36047081400,2635,72720,431400
36047081600,2791,42434,449000
36047081800,4551,53452,365300
36047082000,5281,50750,500000
36047082200,7280,38397,519200
36047082400,4730,35057,458100
36047082600,5513,42996,394700
36047082800,3814,34205,424100
36047083000,5997,37685,467300
36047083200,2289,86731,398900
36047083400,1701,83654,455400
36047083600,1929,62319,459200
36047083800,2189,73438,435400
36047084000,2412,68563,399200
36047084600,1963,92882,401900
36047084800,1750,72500,449800
36047085000,1374,90301,388200
36047085200,29,0,0
36047085400,2052,80446,439500
36047085600,3608,49670,374400
36047085800,2434,53725,455500
36047086000,3426,46736,354700
36047086200,2996,51856,371400
36047086400,2231,88698,484500
36047086600,3149,43464,470600
36047086800,3156,48750,378400
36047087000,3204,45868,419400
36047087200,2868,54779,427100
36047087401,3142,60893,571000
36047087600,1742,58232,408200
36047087800,3006,34303,434200
36047088000,2863,46944,372400
