AREAKEY,TRCTPOP9,MDFAMY9,MDVALHS9,TRCTPOP0,MDFAMY0,MDVALHS0,TRCTPOP1,MDFAMY1A,MDVALHS1A
36005026500,6151,19859,161319,6840,21732,254389,6942,28108,554500
36005026601,3056,36011,191300,2906,44712,184500,2911,67596,424600
36005026602,5162,37762,181400,5266,47740,205400,5301,53849,436100
36005026701,2827,28775,189800,3341,26176,206100,4037,26100,0
36005026702,6559,28775,189800,7751,26176,206100,7040,37597,437000
36005026900,3784,24247,205859,4164,29527,178018,3777,34489,153800
36005027300,7559,21986,141000,7943,27069,143600,7942,43000,198200
36005027401,2823,47225,206900,3120,60417,234400,4785,80404,518800
36005027402,4860,47225,206900,5369,60417,234400,3386,64766,562000
36005027600,2,41670,203400,2,50991,194400,473,0,0
36005027700,4608,26675,152100,5329,26283,160300,5065,36567,356300
36005027900,6712,38493,180843,7199,48165,203015,6966,52837,260500
36005028100,3682,41098,237500,3685,51299,188300,3794,62159,26600
36005028300,1683,23241,128909,1938,28407,0,3149,37066,19000
36005028400,1076,13703,0,1003,7354,250000,894,34667,0
36005028500,2782,44167,176900,3308,47853,218300,3307,50941,416700
36005028600,1157,40163,194800,1357,52800,176900,1191,107841,448500
36005028700,2809,34688,206000,3070,41827,197000,3178,58526,465000
36005028800,2866,50910,217700,3157,65602,244300,3097,75735,526000
36005028900,4641,33850,282249,4872,32236,135326,4502,44091,16800
36005029301,5465,64257,380000,5099,88167,305400,1875,139597,482600
36005029302,2412,63125,373543,2278,86880,320873,5052,105163,251600
36005029500,3862,52046,200000,4081,60330,285500,4240,93906,247000
36005029600,3115,37470,191800,3801,48947,196200,2549,59833,524700
36005029700,3481,53523,311100,3657,75961,470500,3554,101375,309700
36005030000,5511,40880,173700,5862,53929,210000,5838,57829,449800
36005030100,1500,55421,364600,1425,94762,472700,1304,130294,386300
36005030200,9153,41670,203400,8551,50991,194400,8887,67219,80300
36005030701,2971,68290,500001,2987,89827,715482,5378,143750,405000
36005030900,6329,82314,500001,6393,95394,713079,3891,113324,500600
36005031000,3762,60238,215700,4284,69722,233800,4415,92127,553300
36005031200,1342,57654,173600,1566,65417,200800,1524,96250,462900
36005031400,1675,51677,210300,2015,71750,219600,1966,93523,455600
36005031600,1471,45950,205100,1791,46786,216200,1863,76458,515000
36005031800,1431,58955,174400,1759,64375,219500,1810,62337,469700
36005031900,498,0,0,0,0,0,751,0,0
36005032300,5260,57502,500001,5159,77101,750000,4904,100893,275700
36005032400,2528,29261,176600,2826,27719,217500,2957,37636,407600
36005032600,2753,44750,181753,3203,58088,220337,3154,73636,482700
36005032800,3347,27352,212800,4003,37250,171100,3979,48107,495300
